"Nombre de módulo","Autor","Sitio web","Última versión"
"Unique Supplier Invoice Number in Invoice","Savoir-faire Linux, Acsone SA/NV, Odoo Community Association (OCA)","https://github.com/OCA/account-invoicing","13.0.1.0.3"
"Purchase Self Invoice","Creu Blanca, Odoo Community Association (OCA)","https://github.com/OCA/account-invoicing","13.0.1.1.1"
"Account Invoice - Supplier Info Update","Akretion, GRAP, Odoo Community Association (OCA)","https://github.com/OCA/account-invoicing","13.0.1.0.0"
"Account Invoice - Discount Supplier Info Update","GRAP, Odoo Community Association (OCA)","https://github.com/OCA/account-invoicing","13.0.1.0.0"
"Account Invoice Tax","ADHOC SA",,"13.0.1.1.0"
"Account invoice tax note","ACSONE SA/NV,Odoo Community Association (OCA)","https://github.com/OCA/account-invoicing","13.0.1.0.0"
"Tax required in invoice","Camptocamp,Tecnativa,Punt Sistemes, Odoo Community Association (OCA)","https://github.com/OCA/account-invoicing","13.0.1.0.2"
"Invoice Transmit Method","Akretion, Odoo Community Association (OCA)","https://github.com/OCA/account-invoicing","13.0.1.1.0"
"Account Invoice Tree Currency","ForgeFlow, Odoo Community Association (OCA)","https://github.com/OCA/account-invoicing","13.0.1.0.0"
"Account Invoice Triple Discount","QubiQ, Tecnativa, Odoo Community Association (OCA)","https://github.com/OCA/account-invoicing","13.0.1.0.0"
"Enqueue account invoice validation","Tecnativa, Odoo Community Association (OCA)","https://github.com/OCA/account-invoicing","13.0.2.0.0"
"Account Invoice Warn Message","ForgeFlow, Odoo Community Association (OCA)","https://github.com/OCA/account-invoicing","13.0.1.0.1"
"Account Journal Lock Date","ACSONE SA/NV, Tecnativa, Odoo Community Association (OCA)","https://github.com/OCA/account-financial-tools","13.0.1.0.0"
"Account Loan management","Creu Blanca,Odoo Community Association (OCA)","https://github.com/OCA/account-financial-tools","13.0.1.1.0"
"Fecha de bloqueo irreversible","Odoo S.A.",,"13.0.1.0"
"Account Lock Date Update","ACSONE SA/NV, Odoo Community Association (OCA)","https://github.com/OCA/account-financial-tools","13.0.1.0.0"
"Account Lock To Date","ForgeFlow, Odoo Community Association (OCA)","https://github.com/OCA/account-financial-tools","13.0.1.0.1"
"Account Maturity Date Default","Tecnativa, Odoo Community Association (OCA)","https://github.com/OCA/account-financial-tools","13.0.2.0.0"
"Account - Missing Menus","GRAP, Odoo Community Association (OCA)","https://github.com/OCA/account-financial-tools","13.0.1.0.0"
"Account Menu - Invoice & Refund","Ecosoft, Odoo Community Association (OCA)","https://github.com/OCA/account-invoicing/","13.0.1.0.0"
"Account Move Budget","ForgeFlow, Odoo Community Association (OCA)","https://github.com/OCA/account-financial-tools","13.0.1.0.0"
"Account Move Exception","ForgeFlow, Odoo Community Association (OCA)","https://github.com/OCA/account-invoicing","13.0.1.0.1"
"Account Move Force Removal","Tecnativa, Odoo Community Association (OCA)","https://github.com/OCA/account-financial-tools","13.0.1.0.0"
"Account Move Line Product","ForgeFlow, Odoo Community Association (OCA)","http://www.github.com/OCA/stock-logistics-warehouse","13.0.1.0.0"
"Account Move Line Purchase Info","ForgeFlow, Odoo Community Association (OCA)","https://github.com/OCA/account-financial-tools","13.0.1.1.2"
"Account Move Line Sale Info","ForgeFlow S.L., Odoo Community Association (OCA)","https://github.com/OCA/account-financial-tools","13.0.1.0.3"
"Account Move Line Stock Info","ForgeFlow,Odoo Community Association (OCA)","https://github.com/OCA/stock-logistics-warehouse","13.0.1.1.0"
"Account Move Line Tax Editable","ACSONE SA/NV, Odoo Community Association (OCA)","https://github.com/OCA/account-financial-tools","13.0.1.1.0"
"Account Move Line Amount Currency","ForgeFlow, Odoo Community Association (OCA)","https://github.com/OCA/account-financial-tools","13.0.1.0.0"
"Account Move Post Block","ForgeFlow, Odoo Community Association (OCA)","https://github.com/OCA/account-invoicing","13.0.2.0.0"
"Account Move Print","ForgeFlow, Odoo Community Association (OCA)","https://github.com/OCA/account-financial-tools","13.0.1.0.0"
"Account Move Reversal Choose Method","ForgeFlow, Odoo Community Association (OCA)","https://github.com/OCA/account-financial-tools","13.0.1.0.0"
"Account Move Template","Agile Business Group, Aurium Technologies, Vauxoo, ForgeFlow, Akretion, Odoo Community Association (OCA)","https://github.com/OCA/account-financial-tools","13.0.1.2.0"
"Account Move Tier Validation","PESOL, Odoo Community Association (OCA)","https://github.com/OCA/account-invoicing","13.0.1.0.4"
"Account Move Tier Validation Approver","ForgeFlow, Odoo Community Association (OCA)",,"13.0.2.0.0"
"Account Multi Company Fixes","ADHOC SA","www.adhoc.com.ar","13.0.1.0.0"
"Quick Company Creation Wizard","Tecnativa, Odoo Community Association (OCA)","https://github.com/OCA/multi-companyaccount_multicompany_easy_creation","13.0.1.0.4"
"Account Multicompany Usability","ADHOC SA","www.adhoc.com.ar","13.0.1.2.0"
"Multicurrency revaluation","Camptocamp, Odoo Community Association (OCA)",,"13.0.1.0.0"
"Account netting","Tecnativa, Odoo Community Association (OCA)","https://github.com/OCA/account-financial-tools","13.0.1.0.0"
"Pago - Cuenta","Odoo S.A.",,"13.0.1.0"
"Account Payment Fix","ADHOC SA","www.adhoc.com.ar","13.0.1.0.0"
"Account Payment with Multiple methods","ADHOC SA, AITIC S.A.S","www.adhoc.com.ar","13.0.1.8.0"
"Payment Groups with Accounting Documents","ADHOC SA,Odoo Community Association (OCA)",,"13.0.1.0.0"
"Account Payment Group Expense","ADHOC SA,","www.adhoc.com.ar","13.0.1.0.0"
